code,name,name_short,name_tv,gender,function,country_code,country,country_full,nationality,nationality_full,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,family,lang,coach,reason,hero,influence,philosophy,sporting_relatives,ritual,other_sports
1974242,PRICE Madeline,PRICE M,Madeline PRICE,Female,Alternate Athlete,CAN,Canada,Canada,Canada,Canada,CAN,178,0,['Athletics'],"[""Women's 4 x 400m Relay""]",11-09-1995,"PALO ALTO, CA",United States,"DURHAM, NC",United States,"Maddy, MJP, Mads","Reading, trying new local restaurants, camping (She and her fiancee renovated a camper van while living in Austin, TX in 2022), water-related activities like surfing and waterskiing","Athlete, speaker, mentor to girls in sport, coach","Received a Bachelor's degree in Sociology and Political Science in 2018 and a Master's degree in Management Studies in 2019 from Duke University (Durham, NC, USA)","Fiance, TJ Pura. Mother, Sarah. Father, Shawn. Younger sister, Nikky",English,Personal: Mark Mueller,"""I loved competing from a young age because I got to watch my dad race cars professionally and motorcycles off-road and was so inspired by his grit and tenacity when racing. I wanted to be great like he was. I started running and loved the feeling of flying down the track...racing myself, racing the clock, and racing other girls. I still feel free and powerful while sprinting and I love that feeling more than anything. The 4x400m relay has a special place in my heart because it truly is a 'heart' race where we run for the other girls next to us."" (Athlete, 25 Jul 2024)","Her father, Shawn Price. ""Getting to watch him pursue his dreams relentlessly while working a full time job as well gave me life lessons I cherish and live by. Seeing him adapt and pivot after a near death accident during a race across the Mexican desert allowed me to understand from a young age that no matter the obstacle, if you keep showing up, have faith and belief, and rely on a support system, you can recover from any set back and accomplish your goals.""</p><p>Artistic gymnast Simone Biles (USA), seven-time Olympic medallist (four gold, one silver, two bronze); 30-time world championship medallist (23 gold, four silver, three bronze).</p><p>Tennis player Ons Jabeur (TUN), three-time Grand Slam singles runner-up at Wimbledon (2022, 2023) and US Open (2022), becoming the first African and Arab woman to reach a major singles final, four-time Olympian (2012, 2016, 2020) and 2010 Youth Olympian. (Athlete, 25 Jul 2024)","Her mother. ""My mum has encouraged my sister and I to never be afraid in this world and to trust ourselves and our ability. She has taught us the true meaning of love, compassion and empathy and her support through this crazy journey to the Olympics (x2) has meant more than anything.""</p><p>""My coach Mark Mueller has been my coach since I was 15 years old. He has given me the ultimate gift that a coach can give, guidance and autonomy... he has shown me how to ask good questions, take ownership over my journey, and set goals year after year."" (Athlete, 25 Jul 2024)","""Day by day.""</p><p>""Fight well."" (Athlete, 25 Jul 2024)","Father, Shawn Price (car racing), was a professional driver and off-road motorcyclist, winning the 2005 Rolex 24 Hours at Daytona in the GT Class.</p><p>Sister, Nikky Price (lacrosse), is an NCAA Division 1 player at William and Mary in Virginia, USA","Has a stuffed horse named Lucky that she used to give to her father before his races. ""Lucky still travels with me as a reminder of my dad and how far I’ve come."" (Athlete, 25 Jul 2024)","Played club and high school basketball until her third year in high school, went to Olympic Development camps. Also played elite club soccer until she was 15"
1967216,PRINCE Nichelle,PRINCE N,Nichelle PRINCE,Female,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,163,0,['Football'],['Women'],19-02-1995,"AJAX, ON",Canada,"HOUSTON, TX",United States,Vic,"Reading, writing, yoga",Athlete,"Graduated with a degree in Sports Management in 2017 from Ohio State University, Columbus (OH, USA)","Father, Fabian (deceased 2020). Mother, Robin. Sisters, Christine, Kendra",English,National: Bev Priestman (GBR),"""Before my first game I actually cried my whole way to the game, because I was a shy, quiet kid. (But) I remember falling in love with the game that day and I loved playing and have been passionate about it since that day."" (myInfo)","Footballer Christine Sinclair (CAN), three-time Olympic medallist (2020 gold, 2012 and 2016 bronze). The world's all-time leader for international goals scored for men or women with 190 goals, and is one of the most-capped active international soccer players with more than 300 caps.</p><p>Footballer Lionel Messi (ARG), FIFA World Cup winner (2022), Copa America winner (2021), seven time Ballon d'Or winner. Lifted every major club prize in the game with Barcelona and won gold at the 2008 Olympic Games in Beijing.</p><p>Hurdler Perdita Felicien (CAN), two-time 100m hurdles Olympian (2000, 2004), two-time world championship medallist (2003 gold, 2007 silver), two-time world indoor 60m hurdles medallist (2004 gold, 2010 silver)","Inspired by footballer Christine Sinclair (CAN), because she has changed what it means to be a female athlete in Canada","""Life begins at the end of your comfort zone."" (olympic.ca, 2024)","Sister, Kendra Prince (football), played for the University of New Hampshire (NH, USA) and had a spell in Swedish professional football with Lidkopings FK.</p><p>Sister, Christine Prince (football), played for the University of Montevallo (AL, USA)",Eats oatmeal the morning of every game because her dad used to make it before every track meeting and soccer game when she was younger,Athletics: Competed in her youth in track and field
1916223,APITHY-BRUNET Manon,APITHY-BRUNET M,Manon APITHY-BRUNET,Female,Athlete,FRA,France,France,France,France,FRA,0,0,['Fencing'],"[""Women's Sabre Individual"", ""Women's Sabre Team""]",07-02-1996,LYON,France,PARIS,France,Brunette,"Yoga, spending time with family and friends",Armed forces athlete,"Marketing at the EDHEC Business School (Roubaix, FRA)","Husband, Bolade Apithy","English, French","National: Jean-Philippe Daurelle (FRA).<br>Personal: Christian Bauer (FRA), from 2021","""I was doing taekwondo and dancing but I didn't enjoy them. A friend of mine then suggested I try fencing. What attracted me at first - and it's kind of funny - was the sort of disguise you get to wear. I was the only girl at the fencing club, and I loved it."" (myInfo)","Fencers:<br>Sofya Velikaya (RUS), five-time Olympic medallist - two team sabre gold (2016, 2020) and three individual sabre silver (2012, 2016, 2020). Sixteen-time world championship medallist (eight gold, five silver, three bronze).</p><p>Mariel Zagunis (USA), four-time Olympic medallist - two gold (2004 and 2008 individual sabre) and two bronze (2008 and 2016 team sabre), five-time world championship medallist (two gold, three silver).</p><p>Olha Kharlan (UKR), four-time Olympic medallist - one gold (2008 team sabre), one silver (2016 team sabre), two individual sabre bronze (2012, 2016). Fifteen-time world championship medallist (six gold, seven silver, two bronze).</p><p>Judoka Clarisse Agbegnenou (FRA), three-time Olympic medallist - two 2020 gold (mixed team, half middleweight - 63kg), one 2016 silver (half middleweight - 63kg)",Her parents,"""Fencing is a complete sport that requires a variety of skills, reflexes, self-control and respect. I do this sport so much that it almost feels like my sabre is part of my body.""","Husband, Bolade Apithy (fencing), represented France at the 2012 and 2020 Olympic Games. Seven-time European championship medallist (one gold, three silver, three bronze), eight-time French national champion.</p><p>Father, Philippe (football), played for French Ligue 1 club Lyon","""I created a routine with my mental trainer to put myself in a kind of bubble and try to put myself into combat mode. Often, we have a ritual in competition where we are invited to go into a waiting room and then out onto the piste with our referee and our opponent. In that room, I do my little mental warm-up routine and a little physical warm-up to wake up my body and my mind."" (le-medias-blog-de-julian.over-blog.com, 27 Feb 2021)",
1950628,MASSIALAS Alexander,MASSIALAS A,Alexander MASSIALAS,Male,Athlete,USA,United States,United States of America,United States,United States of America,USA,0,0,['Fencing'],"[""Men's Foil Individual"", ""Men's Foil Team""]",20-04-1994,"SAN FRANCISCO, CA",United States,"SAN FRANCISCO, CA",United States,"Alex, Chen Hai-Hsiang (his Chinese name)","Enjoys playing soccer, basketball and the xylophone. Spends time with friends, going to the beach, watching TV. His bucket travel list includes Australia, New Zealand, Iceland, Thailand, Vietnam, and Peru",Athlete,"Graduated in 2017 with a degree in Mechanical Engineering from Stanford University (Palo Alto, CA, USA), where he was on athletic scholarship for fencing","Father, Greg (USA). Mother, Vivian Chen Chwan-Hui (TPE). Sister, Sabrina","English, Mandarin",Personal / National: Greg Massialas (USA) - his father,"His father competed in fencing at the Olympic Games (1984, 1988) and was named to the USA team that boycotted the 1980 Olympic Games. Fascinated by his father’s Olympic equipment as a boy, he was determined to become an Olympian. He excelled at the sport from the very beginning","Fencer Gerek Meinhardt (USA), two-time Olympic bronze team medallist (2016, 2020), seven-time world championship medallist (one gold, four silver, two bronze)","His father Greg, and fencing coach Dean Hinton","""I don't like losing in anything and that means board games, video games, and fencing."" (myInfo)","Father, Greg Massialas (fencing), three-time Olympian (1980 boycott, 1984, 1988). Coached the U.S. men's national foil team and was a fencing referee at the 1996 Olympic Games in Atlanta. </p><p>Sister, Sabrina Massialas (fencing), 2014 Youth Olympic Games foil champion, 2020 Olympian (fourth in foil team) and 2017 World Championships foil team silver medallist",,
1895142,BACSKAY Csenge Maria,BACSKAY CM,Csenge Maria BACSKAY,Female,Athlete,HUN,Hungary,Hungary,Hungary,Hungary,HUN,0,0,['Artistic Gymnastics'],"['Women', ""Women's Vault""]",14-04-2003,BUDAPEST,Hungary,BUDAPEST,Hungary,Csengi,Drawing and being creative,"Student, athlete","Studying Business Administration at University of Georgia (Athens, GA, USA)","Father, Zsolt Bacskay. Mother, Barbara Bacskayne Abonyi. Younger sister, Kincso. Younger brother, Zsomber","English, Hungarian",Personal/National: Imre Draskoczy (HUN),"“I really enjoyed swinging around and trying new things.” (www.intlgymnast.com, 14 Apr 2024)","Artistic gymnast Simone Biles (USA), seven-time Olympic medallist (four gold, one silver, two bronze); 30-time world championship medallist (23 gold, four silver, three bronze)",Her mother,"""Believe in yourself."" (intlgymnast.com, 14 Apr 2024)",,,
1918759,BROWN Georgia-Rose,BROWN GR,Georgia-Rose BROWN,Female,Athlete,NZL,New Zealand,New Zealand,New Zealand,New Zealand,NZL,0,0,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",22-01-1995,"AUCHENFLOWER, QLD",Australia,MELBOURNE,Australia,George,"Television, reading, cooking, going to the beach, travelling, exploring","Athlete, business owner, student","Studying for a Doctor's degree in Physiotherapy at the University of Melbourne (AUS), after earning a Bachelor's degree in Biomedical Science at Australian Catholic University in 2021","Father, Mark (chiropractor). Mother, Maria (chiropractor). Older brothers, Carlin and Lachlan. Younger brothers, Ryland and Nello. Younger sister, Lydia",English,"Personal: Mark Calton (AUS), Misha Barabach (RUS)","Followed her oldest brother, Carlin, into the sport","Tennis player Ash Barty (AUS), 2020 Olympic bronze medallist (mixed doubles), three-time Grand Slam singles champion.</p><p>Artistic gymnast Lisa Skinner (AUS), three-time Olympian (1996, 2000, 2004), two-time 1998 Commonwealth Games champion (uneven bars, team)","Her mother. ""A supportive, very independent and strong woman."" (commonwealthgames.com.au)","""Never give up, enjoy every moment."" (intlgymnast.com, 11 July 2024)",,Drinks coffee and listens to music before a competition,
1919473,OKAMURA Mana,OKAMURA M,OKAMURA Mana,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault"", ""Women's Team""]",28-05-2005,MIE,Japan,MIE,Japan,"Mana Egg, Manapi",Baking pastries and making sweets,"Athlete, student",Studying Policy Studies at Yokkaichi University (JPN),"Mother, father, sister",Japanese,Personal: Tonomura Kazusai (JPN).<br>National: Tanaka Hikaru (JPN),"Inspired by watching the performances of Japanese artistic gymnast Uchimura Kohei on television at London 2012, where he won gold in the all-around","""All hardworking people are cool."" (Athlete, 22 May 2024)","Japanese gymnast Uchimura Kohei. ""He was the reason I started doing gymnastics."" (Athlete, 22 May 2024)","""Guts, courage, practice - this is what I think is necessary to become stronger."" (Athlete, 22 May 2024)",,Imagery training,
1961314,PETROUNIAS Eleftherios,PETROUNIAS E,Eleftherios PETROUNIAS,Male,Athlete,GRE,Greece,Greece,Greece,Greece,GRE,0,0,['Artistic Gymnastics'],"['Men', ""Men's Rings""]",30-11-1990,ATHENS,Greece,ATHENS,Greece,Lord of the Rings,"Travelling, diving",Athlete,"Communications, Marketing at Athens University of Economics and Business (GRE)","Wife, Vasiliki Millousi. Daughters, Sofia (November 2019), Eleni (December 2020)","English, Greek",National: Dimitris Raftis (GRE),"One of his teachers encouraged his mother to enrol him in the sport to deal with his hyperactivity. ""I was very lively and had a tendency to climb everywhere."" (myInfo)","Artistic gymnast Jordan Jovtchev (BUL), six-time Olympian winning four medals (one silver, three bronze), 13-time world championship medallist (four gold, five silver, four bronze).</p><p>Artistic gymnast Dimosthenis Tampakos (GRE), two-time Olympic medallist (one gold, one silver), two-time world championship medallist (one gold, one bronze)",,"""Training is above all else centred on the brain."" (sport24.gr, 13 Aug 2018)","Wife, Vasiliki Millousi (artistic gymnastics), three-time Olympian representing Greece in 2000, 2012 and 2016",,
1913217,YUAN Yechun,YUAN Y,YUAN Yechun,Male,Athlete,CHN,China,People's Republic of China,China,People's Republic of China,CHN,178,0,['Golf'],"[""Men's Individual Stroke Play""]",21-03-1997,DALIAN,China,"LAKE MARY, FL",United States,Carl,"Fishing, poker, watching detective TV shows",,"Studied communications at the University of Washington (Seattle, WA, USA)","Wife, Ying (Cathy) (married May 2020)","English, Mandarin",,"""My dad used to play a little bit, so he took me out on the course. In China we have caddies with push carts, and I was so little that I was literally laying on top of the golf bag and the caddie was pushing the push cart with me on it. I'd just hang out with my dad on the course, and then we started going to the range."" (pgatour.com, 5 Apr 2021)","Golfer Seve Ballesteros (ESP), five-time major winner, 90 professional wins worldwide (50 on the European Tour)",,"""I would say I am a pretty creative golfer. I'm learning to have as many shots as possible in my bag that I can hit so every day I go out on the course in any tournament I'm willing to face any challenge. I'm not trying to hold any limits on myself, if there's a possibility that I can make a birdie and there's a risk, it's a risk I'm willing to take. I just want to challenge myself to the best possible."" (pgatour.com, 05 Apr 2021)","Wife, Cathy (golf), was a professional golfer. She won a China LPGA event in 2018 with Carl as her caddie for the final round. They held the trophy together following the victory",,
1978663,PAGDANGANAN Bianca,PAGDANGANAN B,Bianca PAGDANGANAN,Female,Athlete,PHI,Philippines,Philippines,Philippines,Philippines,PHI,162,0,['Golf'],"[""Women's Individual Stroke Play""]",28-10-1997,QUEZON,Philippines,"APOPKA, FL",United States,The Unicorn,She is a huge Taylor Swift fan,,"Studied at the University of Arizona (Tucson, AZ, USA)","Father, Sam. Mother, Carminia. Two siblings, Ines and Carlos","English, Filipino",,"Followed her father into the sport. ""He would always play golf over the weekends, which made me curious. One day, I asked to go to the driving range with him and he let me hit a few golf balls, and it took off from there."" (myInfo)","Golfer Jennifer Rosales (PHI), the first golfer from the Philippines to win on the LPGA Tour (2004)",,"""I'm very competitive in nature, and golf just throws a number of challenges at you. You don't just compete with your opponents, you also have to master the course and, most importantly, yourself. There's a different kind of satisfaction of being able to overcome all these challenges at once."" (ph.asiatatler.com, 11 Feb 2021)",,"She studies the course she will be playing on before competing. ""I try to find courses with similar layouts. I often go to the driving range, as well as play 18 holes and keep track of my stats. After assessing all that, I try to focus on what I need to work on when I practice."" (ph.asiatatler.com, 11 Feb 2021)",
